step	time_s	rho_gcc	size_cm	te_eV	ti_eV_assumed	ni_cm3	ne_cm3	zstar	pmate_erg_cm3	pmati_erg_cm3	pmat_erg_cm3	pmate_Gbar	pmati_Gbar	pmat_Gbar	emate_erg_g	emati_erg_g	emat_erg_g	power_loss_total
31	1.336700E-09	2.121615E-04	1.000000E-04	7.678300E+01	7.678300E+01	4.735336E+18	4.612200E+19	9.739600E+00	5.673925E+09	5.825407E+08	6.256466E+09	5.673925E-06	5.825407E-07	6.256466E-06	4.011514E+13	4.118612E+12	4.423375E+13	3.920000E-03
32	1.403000E-09	1.563148E-04	1.000000E-04	7.910500E+01	7.910500E+01	3.488866E+18	3.398200E+19	9.739800E+00	4.306885E+09	4.421795E+08	4.749064E+09	4.306885E-06	4.421795E-07	4.749064E-06	4.132895E+13	4.243164E+12	4.557212E+13	2.373700E-03
33	1.469300E-09	1.151684E-04	1.000000E-04	8.142700E+01	8.142700E+01	2.570500E+18	2.503500E+19	9.739000E+00	3.266077E+09	3.353485E+08	3.601426E+09	3.266077E-06	3.353485E-07	3.601426E-06	4.253871E+13	4.367715E+12	4.690643E+13	1.418900E-03
34	1.535700E-09	8.485290E-05	1.000000E-04	8.374800E+01	8.374800E+01	1.893873E+18	1.844300E+19	9.737700E+00	2.474665E+09	2.541182E+08	2.728783E+09	2.474665E-06	2.541182E-07	2.728783E-06	4.374626E+13	4.492212E+12	4.823848E+13	8.394000E-04
35	1.602000E-09	6.251727E-05	1.000000E-04	8.607000E+01	8.607000E+01	1.395353E+18	1.358600E+19	9.736500E+00	1.873500E+09	1.924183E+08	2.065919E+09	1.873500E-06	1.924183E-07	2.065919E-06	4.495159E+13	4.616764E+12	4.956835E+13	4.924000E-04
36	1.668300E-09	4.606100E-05	1.000000E-04	8.839200E+01	8.839200E+01	1.028058E+18	1.000900E+19	9.735400E+00	1.417471E+09	1.455931E+08	1.563064E+09	1.417471E-06	1.455931E-07	1.563064E-06	4.616065E+13	4.741315E+12	5.090197E+13	2.868600E-04
37	1.734700E-09	3.393647E-05	1.000000E-04	9.071300E+01	9.071300E+01	7.574446E+17	7.373600E+18	9.734500E+00	1.071666E+09	1.100857E+08	1.181752E+09	1.071666E-06	1.100857E-07	1.181752E-06	4.736790E+13	4.865813E+12	5.223371E+13	1.661600E-04
38	1.801000E-09	2.500345E-05	1.000000E-04	9.303500E+01	9.303500E+01	5.580642E+17	5.432300E+18	9.733800E+00	8.097305E+08	8.318421E+07	8.929147E+08	8.097305E-07	8.318421E-08	8.929147E-07	4.857713E+13	4.990364E+12	5.356749E+13	9.577400E-05
39	1.867300E-09	1.842185E-05	1.000000E-04	9.535700E+01	9.535700E+01	4.111662E+17	4.002200E+18	9.733300E+00	6.114511E+08	6.281747E+07	6.742686E+08	6.114511E-07	6.281747E-08	6.742686E-07	4.978744E+13	5.114915E+12	5.490235E+13	5.498100E-05
40	1.933700E-09	1.357271E-05	1.000000E-04	9.767800E+01	9.767800E+01	3.029359E+17	2.948600E+18	9.732900E+00	4.614483E+08	4.740869E+07	5.088569E+08	4.614483E-07	4.740869E-08	5.088569E-07	5.099736E+13	5.239413E+12	5.623677E+13	3.145100E-05
41	2.000000E-09	1.000000E-05	1.000000E-04	1.000000E+02	1.000000E+02	2.231949E+17	2.172400E+18	9.732700E+00	3.480569E+08	3.575976E+07	3.838166E+08	3.480569E-07	3.575976E-08	3.838166E-07	5.220853E+13	5.363964E+12	5.757249E+13	1.793500E-05
